Seller,OEM,Description,Quantity Required,Unit Price,Extended Amount
CERIO,DELTA,DELTA-1250KVA-UPS,10,"$352,910.96 ","$3,529,110 "
CERIO,DELTA,DELTA-250KVA-UPS,9,"$119,010.13 ","$1,071,091 "
CERIO,DELTA,DELTA-400A-BUSWAY,16,"$76,600.24 ","$1,225,604 "
CERIO,DELTA,DELTA-600A-BUSWAY,44,"$76,600.24 ","$3,370,411 "
CERIO,DELTA,DELTA-63A-PIU,44,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY
JCI,JCI,JCI-72K-FAN WALL,17,"$113,810.76 ","$1,934,783 "
JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 13.2KV KNAN-TRANSFORMER,5,"$109,495.00 ","$547,475 "
JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 13.2KV KNAF-TRANSFORMER,3,"$112,595.00 ","$337,785 "
MCG,MCFI,MCFI-IT-MODULE,5,"$1,406,767.94 ","$7,033,840 "
MCG,MCFI,MCFI-MECH-MODULE,3,"$1,406,767.94 ","$4,220,304 "
SVL,AAON,AAON-RQA-005-DOAS,2,"$66,718.75 ","$133,438 "
SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,3,"$11,400.00 ","$34,200 "
SVL,DADEX,DADEX-60KW-CRAH,2,"$72,800.00 ","$145,600 "
TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,9,"$80,458.00 ","$724,122 "
TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-15000 GAL HORIZONTAL-THERMAL STORAGE TANK,2,"$407,949.00 ","$815,898 "
SVL,DADEX,DADEX-60KW-CRAH,4,"$72,800.00 ","$291,200 "
CERIO,DELTA,DELTA-1250KVA-UPS,42,"$352,910.96 ","$14,822,260 "
CERIO,DELTA,DELTA-250KVA-UPS,30,"$119,010.13 ","$3,570,304 "
HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",1200,$526.30 ,"$631,560 "
CERIO,DELTA,DELTA-800A-STS,72,"$92,650.00 ","$6,670,800 "
CERIO,DELTA,DELTA-600A-BUSWAY,16,"$76,600.24 ","$1,225,604 "
CERIO,DELTA,DELTA-400A-BUSWAY,2,"$76,600.24 ","$153,200 "
CERIO,DELTA,DELTA-800A-BUSWAY,72,"$76,600.24 ","$5,515,217 "
CERIO,DELTA,DELTA-63A-PIU,72,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY
CERIO,KOHLER,KOHLER-3MW-GENERATOR,4,"$2,450,000.00 ","$9,800,000 "
EAE,EAE,EAE-4000A-RESERVE BUSDUCT,1114,$932.00 ,"$1,038,248 "
EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,72,INCLUDED IN RBUS,INCLUDED IN RBUS
JCI,JCI,JCI-500T-115-CHILLER,30,"$583,361.53 ","$17,500,846 "
JCI,JCI,JCI-72K-FAN WALL,38,"$113,810.76 ","$4,324,809 "
JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAN-TRANSFORMER,21,"$20,994.28 ","$440,880 "
JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAF-TRANSFORMER,10,"$20,994.28 ","$209,943 "
MCG,MCFI,MCFI-MECH-MODULE,10,"$1,406,767.94 ","$14,067,679 "
MCG,MCFI,MCFI-IT-MODULE,21,"$1,406,767.94 ","$29,542,127 "
SVL,AAON,AAON-RQA-011-DOAS,2,"$66,718.75 ","$133,438 "
SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,4,"$9,710.71 ","$38,843 "
SVL,DADEX,DADEX-60KW-CRAH,2,"$72,800.00 ","$145,600 "
TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,30,"$80,458.00 ","$2,413,740 "
TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-30000 GAL VERTICAL-THERMAL STORAGE TANK,4,"$407,949.00 ","$1,631,796 "
SVL,DADEX,DADEX-60KW-CRAH,4,"$72,800.00 ","$291,200 "
CERIO,DELTA,DELTA-800A-STS,72,"$92,650.00 ","$6,670,800 "
CERIO,DELTA,DELTA-1250KVA-UPS,42,"$352,910.96 ","$14,822,260 "
CERIO,DELTA,DELTA-250KVA-UPS,30,"$119,010.13 ","$3,570,304 "
CERIO,DELTA,DELTA-400A-BUSWAY,2,"$76,600.24 ","$153,200 "
CERIO,DELTA,DELTA-600A-BUSWAY,16,"$76,600.24 ","$1,225,604 "
CERIO,DELTA,DELTA-800A-BUSWAY,72,"$76,600.24 ","$5,515,217 "
CERIO,DELTA,DELTA-63A-PIU,72,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY
HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",1200,$526.30 ,"$631,560 "
CERIO,KOHLER,KOHLER-3MW-GENERATOR,4,"$2,450,000.00 ","$9,800,000 "
EAE,EAE,EAE-4000A-RESERVE BUSDUCT,1108,$932.00 ,"$1,032,656 "
EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,72,INCLUDED IN RBUS,INCLUDED IN RBUS
JCI,JCI,JCI-500T-115-CHILLER,30,"$583,361.53 ","$17,500,846 "
JCI,JCI,JCI-72K-FAN WALL,38,"$113,810.76 ","$4,324,809 "
JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAN-TRANSFORMER,21,"$20,994.28 ","$440,880 "
JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAF-TRANSFORMER,10,"$20,994.28 ","$209,943 "
MCG,MCFI,MCFI-IT-MODULE,21,"$1,406,767.94 ","$29,542,127 "
MCG,MCFI,MCFI-MECH-MODULE,10,"$1,406,767.94 ","$14,067,679 "
SVL,AAON,AAON-RQA-011-DOAS,2,"$66,718.75 ","$133,438 "
SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,4,"$9,710.71 ","$38,843 "
SVL,DADEX,DADEX-60KW-CRAH,2,"$72,800.00 ","$145,600 "
TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,30,"$80,458.00 ","$2,413,740 "
