Building,Assignment,Seller,OEM,Description,Procurement Status,Quantity Required,Quantity Ordered,Net Short Quantity,Extended Amount,Extended Amount Outstanding,Unit Price,L2 Labor Hours,L3 Labor Hours,L4 Labor Hours,L5 Labor Hours,L6 Labor Hours
A,DTO-A,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,10,10,0,"$3,529,110 ",$0 ,"$352,910.96 ",,,,,
A,DTO-A,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,9,9,0,"$1,071,091 ",$0 ,"$119,010.13 ",,,,,
A,DTO-A,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,16,16,0,"$1,225,604 ",$0 ,"$76,600.24 ",,,,,
A,DTO-A,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,44,44,0,"$3,370,411 ",$0 ,"$76,600.24 ",,,,,
A,DTO-A,CERIO,DELTA,DELTA-63A-PIU,PO Issued,44,44,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
A,DTO-A,JCI,JCI,JCI-72K-FAN WALL,PO Issued,17,17,0,"$1,934,783 ",$0 ,"$113,810.76 ",,,,,
A,DTO-A,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 13.2KV KNAN-TRANSFORMER,PO Issued,5,5,0,"$547,475 ",$0 ,"$109,495.00 ",,,,,
A,DTO-A,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 13.2KV KNAF-TRANSFORMER,PO Issued,3,3,0,"$337,785 ",$0 ,"$112,595.00 ",,,,,
A,DTO-A,MCG,MCFI,MCFI-IT-MODULE,PO Issued,5,5,0,"$7,033,840 ",$0 ,"$1,406,767.94 ",,,,,
A,DTO-A,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,3,3,0,"$4,220,304 ",$0 ,"$1,406,767.94 ",,,,,
A,DTO-A,SVL,AAON,AAON-RQA-005-DOAS,PO Issued,2,2,0,"$133,438 ",$0 ,"$66,718.75 ",,,,,
A,DTO-A,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,3,3,0,"$34,200 ",$0 ,"$11,400.00 ",,,,,
A,DTO-A,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
A,DTO-A,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,9,9,0,"$724,122 ",$0 ,"$80,458.00 ",,,,,
A,DTO-A,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-15000 GAL HORIZONTAL-THERMAL STORAGE TANK,PO Issued,2,2,0,"$815,898 ",$0 ,"$407,949.00 ",,,,,
A-MMR,DTO-A-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
B,DTO-B,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,42,42,0,"$14,822,260 ",$0 ,"$352,910.96 ",,,,,
B,DTO-B,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,30,30,0,"$3,570,304 ",$0 ,"$119,010.13 ",,,,,
B,DTO-B,HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",PO Issued,1200,1200,0,"$631,560 ",$0 ,$526.30 ,,,,,
B,DTO-B,CERIO,DELTA,DELTA-800A-STS,PO Issued,72,212,140,"$6,670,800 ","($12,971,000)","$92,650.00 ",,,,,
B,DTO-B,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,16,16,0,"$1,225,604 ",$0 ,"$76,600.24 ",,,,,
B,DTO-B,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,2,2,0,"$153,200 ",$0 ,"$76,600.24 ",,,,,
B,DTO-B,CERIO,DELTA,DELTA-800A-BUSWAY,PO Issued,72,72,0,"$5,515,217 ",$0 ,"$76,600.24 ",,,,,
B,DTO-B,CERIO,DELTA,DELTA-63A-PIU,PO Issued,72,72,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
B,DTO-B,CERIO,KOHLER,KOHLER-3MW-GENERATOR,PO Issued,4,4,0,"$9,800,000 ",$0 ,"$2,450,000.00 ",,,,,
B,DTO-B,EAE,EAE,EAE-4000A-RESERVE BUSDUCT,PO Issued,1114,1114,0,"$1,038,248 ",$0 ,$932.00 ,,,,,
B,DTO-B,EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,PO Issued,72,72,0,INCLUDED IN RBUS,INCLUDED IN RBUS,INCLUDED IN RBUS,,,,,
B,DTO-B,JCI,JCI,JCI-500T-115-CHILLER,PO Issued,30,30,0,"$17,500,846 ",$0 ,"$583,361.53 ",,,,,
B,DTO-B,JCI,JCI,JCI-72K-FAN WALL,PO Issued,38,38,0,"$4,324,809 ",$0 ,"$113,810.76 ",,,,,
B,DTO-B,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAN-TRANSFORMER,PO Issued,21,21,0,"$440,880 ",$0 ,"$20,994.28 ",,,,,
B,DTO-B,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAF-TRANSFORMER,PO Issued,10,10,0,"$209,943 ",$0 ,"$20,994.28 ",,,,,
B,DTO-B,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,10,10,0,"$14,067,679 ",$0 ,"$1,406,767.94 ",,,,,
B,DTO-B,MCG,MCFI,MCFI-IT-MODULE,PO Issued,21,21,0,"$29,542,127 ",$0 ,"$1,406,767.94 ",,,,,
B,DTO-B,SVL,AAON,AAON-RQA-011-DOAS,PO Issued,2,2,0,"$133,438 ",$0 ,"$66,718.75 ",,,,,
B,DTO-B,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,4,4,0,"$38,843 ",$0 ,"$9,710.71 ",,,,,
B,DTO-B,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
B,DTO-B,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,30,30,0,"$2,413,740 ",$0 ,"$80,458.00 ",,,,,
B,DTO-B,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-30000 GAL VERTICAL-THERMAL STORAGE TANK,PO Issued,4,4,0,"$1,631,796 ",$0 ,"$407,949.00 ",,,,,
B-MMR,DTO-B-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-800A-STS,PO Issued,72,72,0,"$6,670,800 ",$0 ,"$92,650.00 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,42,42,0,"$14,822,260 ",$0 ,"$352,910.96 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,30,30,0,"$3,570,304 ",$0 ,"$119,010.13 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,2,2,0,"$153,200 ",$0 ,"$76,600.24 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,16,16,0,"$1,225,604 ",$0 ,"$76,600.24 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-800A-BUSWAY,PO Issued,72,72,0,"$5,515,217 ",$0 ,"$76,600.24 ",,,,,
C,DTO-C,CERIO,DELTA,DELTA-63A-PIU,PO Issued,72,72,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
C,DTO-C,HYDRAQUIP,DANFOSS,"DANFOSS-2"" FD83-COUPLER",PO Issued,1200,1200,0,"$631,560 ",$0 ,$526.30 ,,,,,
C,DTO-C,CERIO,KOHLER,KOHLER-3MW-GENERATOR,PO Issued,4,4,0,"$9,800,000 ",$0 ,"$2,450,000.00 ",,,,,
C,DTO-C,EAE,EAE,EAE-4000A-RESERVE BUSDUCT,PO Issued,1108,1108,0,"$1,032,656 ",$0 ,$932.00 ,,,,,
C,DTO-C,EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,PO Issued,72,72,0,INCLUDED IN RBUS,INCLUDED IN RBUS,INCLUDED IN RBUS,,,,,
C,DTO-C,JCI,JCI,JCI-500T-115-CHILLER,PO Issued,30,30,0,"$17,500,846 ",$0 ,"$583,361.53 ",,,,,
C,DTO-C,JCI,JCI,JCI-72K-FAN WALL,PO Issued,38,38,0,"$4,324,809 ",$0 ,"$113,810.76 ",,,,,
C,DTO-C,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAN-TRANSFORMER,PO Issued,21,21,0,"$440,880 ",$0 ,"$20,994.28 ",,,,,
C,DTO-C,JCL ENERGY,JCL ENERGY,JCL ENERGY-2550KVA 34.5KV KNAF-TRANSFORMER,PO Issued,10,10,0,"$209,943 ",$0 ,"$20,994.28 ",,,,,
C,DTO-C,MCG,MCFI,MCFI-IT-MODULE,PO Issued,21,21,0,"$29,542,127 ",$0 ,"$1,406,767.94 ",,,,,
C,DTO-C,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,10,10,0,"$14,067,679 ",$0 ,"$1,406,767.94 ",,,,,
C,DTO-C,SVL,AAON,AAON-RQA-011-DOAS,PO Issued,2,2,0,"$133,438 ",$0 ,"$66,718.75 ",,,,,
C,DTO-C,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,4,4,0,"$38,843 ",$0 ,"$9,710.71 ",,,,,
C,DTO-C,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
C,DTO-C,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,30,30,0,"$2,413,740 ",$0 ,"$80,458.00 ",,,,,
C,DTO-C,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-30000 GAL VERTICAL-THERMAL STORAGE TANK,PO Issued,4,4,0,"$1,631,796 ",$0 ,"$407,949.00 ",,,,,
C-MMR,DTO-C-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,42,42,0,"$14,822,260 ",$0 ,"$352,910.96 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,30,30,0,"$3,570,304 ",$0 ,"$119,010.13 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-800A-STS,PO Issued,72,72,0,"$6,670,800 ",$0 ,"$92,650.00 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,2,2,0,"$153,200 ",$0 ,"$76,600.24 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,16,16,0,"$1,225,604 ",$0 ,"$76,600.24 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-800A-BUSWAY,PO Issued,72,72,0,"$5,515,217 ",$0 ,"$76,600.24 ",,,,,
D,DTO-D,CERIO,DELTA,DELTA-63A-PIU,PO Issued,72,72,0,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,INCLUDED IN BUSWAY,,,,,
D,DTO-D,CERIO,KOHLER,KOHLER-3MW-GENERATOR,PO Issued,4,4,0,"$9,800,000 ",$0 ,"$2,450,000.00 ",,,,,
D,DTO-D,EAE,EAE,EAE-4000A-RESERVE BUSDUCT,PO Issued,1108,1108,0,"$1,032,656 ",$0 ,$932.00 ,,,,,
D,DTO-D,EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,PO Issued,72,72,0,INCLUDED IN RBUS,INCLUDED IN RBUS,INCLUDED IN RBUS,,,,,
D,DTO-D,JCI,JCI,JCI-500T-115-CHILLER,PO Issued,30,30,0,"$17,500,846 ",$0 ,"$583,361.53 ",,,,,
D,DTO-D,JCI,JCI,JCI-72K-FAN WALL,PO Issued,38,38,0,"$4,324,809 ",$0 ,"$113,810.76 ",,,,,
D,DTO-D,JCL ENERGY,VTC,VTC-2550KVA 34.5KV KNAN-TRANSFORMER,PO Issued,21,21,0,"$440,880 ",$0 ,"$20,994.28 ",,,,,
D,DTO-D,JCL ENERGY,VTC,VTC-2550KVA 34.5KV KNAF-TRANSFORMER,PO Issued,10,10,0,"$209,943 ",$0 ,"$20,994.28 ",,,,,
D,DTO-D,MCG,MCFI,MCFI-IT-MODULE,PO Issued,21,21,0,"$29,542,127 ",$0 ,"$1,406,767.94 ",,,,,
D,DTO-D,MCG,MCFI,MCFI-MECH-MODULE,PO Issued,10,10,0,"$14,067,679 ",$0 ,"$1,406,767.94 ",,,,,
