Role,Hourly Rate
Cx Manager, $185.00 
Lead MCx-D, $150.00 
Lead MCx-C, $150.00 
Lead MCx-B, $150.00 
Lead MCx-A, $150.00 
Lead ECx-D, $150.00 
Lead ECx-C, $150.00 
Lead ECx-B, $150.00 
Lead ECx-A, $150.00 
Cx Scheduler/Coordinator, $165.00 
MCx Tech-D, $120.00 
MCx Tech-C, $120.00 
MCx Tech-B, $120.00 
MCx Tech-A, $120.00 
ECx Tech-D, $120.00 
ECx Tech-C, $120.00 
ECx Tech-B, $120.00 
ECx Tech-A, $120.00 
Doc Control-B, $110.00 
Doc Control-A, $110.00 
Mech Floater, $125.00 
Elect Floater, $125.00 
D2C Mech Engineering SME, $185.00 
Substation Elecrical Engineering SME, $185.00 
