Name,Action Description,Notes_Comments,Priority,Assigned To,Status,Organization,Category,Cost Impact,Dependencies,Due Date,Related Decision IDs,Timeline Impact
33-002,Confirm natural gas service capacity for turbine generators,"Contact Oklahoma Natural Gas (or local provider) to confirm pipeline capacity for 3,000-4,000 CFH peak demand (multiple turbines). Verify pressure (5-10 psig), meter sizing (6-8""), and interconnection timeline. Critical for generator fuel strategy decision - do we have the pressure, reliability, etc. to run turbines vs diesel? If insufficient capacity, must fall back to diesel-only or evaluate dual-fuel strategy.",1-Critical Path,David,In Progress,Saga,Utilities (Div 33),$100-300K interconnection,None,18-Oct-25,D2 E5,2-4 weeks if service installation required
33-001,Comprehensive utility interconnection study and grid power validation,"PRIMARY QUESTION: Confirm grid power is available at the site (138 kV service from OG&E). Submit formal interconnection application for 15-20 MVA substation transformer. Validate interconnection agreement permits: (1) 12MW solar export capability during Phase 1-2 (Option A), (2) 6-8MW additional load for mobile edge computing (Option B). Identify required utility upgrades, costs, and timeline. Determine POI configuration (single behind-the-meter vs dual POI). Coordinate with Camelot Task 1 findings (substation hosting capacity, transmission line analysis). 6-18+ month lead time - START IMMEDIATELY. Waiting on input from Camelot on CHILL and HILL process for large load interconnection.",1-Critical Path,Saga,Not Started,Saga,Utilities (Div 33),"$2-5M utility upgrade cost exposure + $50K-$150K study fees, plus potential $0-5M for Option B mobile compute",None,ASAP,V10 D1,6-18+ months if delayed
99-001,Confirm environmental consultant will validate emissions/air permitting path,"Make sure we can run nat gas, diesel gens or turbine as needed. Verify permitting timeline and requirements for chosen generator fuel strategy.",2-Critical,David,In Progress,Saga,Environmental/Permitting,,48-001,8-Nov-25,E4 E7,2-6 months depending on path
26-100,BESS-as-UPS analysis: CapEx savings estimate,Finalizing recommendations in this area�,2-Critical,Benton,Review-Send,PGCIS,Electrical (Div 26),"Traditional 2N UPS selected: $26.3M total. No UPS savings, but project finance viable.",None,18-Oct-25,D1,
27-001,Coordinate Camelot fiber study with Aaron's Google GCP outreach,"Review Camelot Task 3 fiber design drawings (T&M basis) for routing to site when delivered. Aaron is contacting Google regarding GCP Dedicated Interconnect feasibility. Confirm diverse fiber routes, carrier availability, and physical diversity. Validate dark fiber connectivity to Google Pryor campus (~4 miles, <1ms latency target). Determine if separate telecom consultant needed.",2-Critical,Aaron,Not Started,Saga,Communications (Div 27),$200-400K fiber infrastructure,33-001,18-Oct-25,C2 C3,
26-099,BESS-as-UPS analysis: capacity sizing and functionality,BESS vs UPS under review,2-Critical,Benton,Review-Send,PGCIS,Electrical (Div 26),BESS-as-UPS rejected. Traditional 2N UPS: $26.3M total phased CAPEX (Phase 1: $4.5M),None,18-Oct-25,D1 U2,
02-001,Confirm building test fit on site and equipment yard locations,"Test fit building configuration on the 121-acre site to determine optimal orientation. Once building is placed, determine which side is appropriate for generator yard and which side for chiller yard (north/south/east/west). Consider factors: property lines, access roads, future expansion areas, sound attenuation, prevailing winds. Replaces assumption of north side for generators - need to validate building placement first.",2-Critical,Julia,In Progress,PGCIS,Building & Site (Divs 02-14),Site layout and sound attenuation requirements ($200-400K),"48-002, 23-001",15-Nov-25,S1,Equipment access and future phase expansion planning
26-002,Confirm electrical room configuration (indoor vs outdoor),"BOD shows reversion to traditional indoor electrical rooms (6,000 SF total, 2× 3,000 SF) to house 2N UPS systems. October architectural meeting discussed outdoor containerized enclosures. Confirm final approach and resolve discrepancy. Traditional UPS requires indoor housing with fire suppression and cooling (outdoor only viable with BESS-as-UPS, which is rejected).",2-Critical,PGCIS,In Progress,PGCIS,Electrical (Div 26),"$2-3M for indoor electrical rooms (fire suppression, cooling)",26-001,30-Nov-25,D1,Building footprint impact
23-005,Validate sizing for liquid-cooled AI racks,Confirm 9× MCDU-50 equivalent units (or similar) are adequate for 48 AI racks (up to 132 kW/rack liquid-cooled). Validate chilled water manifold distribution and leak detection strategy. Direct-to-chip vs rear-door liquid coil options for customers.,2-Critical,PGCIS,In Progress,PGCIS,Mechanical (Div 23),$500K-1M CDU CAPEX,"23-004, 23-003",8-Nov-25,M3 O1,
27-003,Research GCP Cloud Interconnect requirements (if Camelot doesn't cover),"Only if not in Camelot scope, and determine if telecom consultant is needed to engage. Coordinate with Aaron's Google outreach.",3-High,Benton,Blocked,PGCIS,Communications (Div 27),,27-001,25-Oct-25,C1 C2,
