Name,Action Description,Assigned To,Category,Cost Impact,Dependencies,Due Date,Notes_Comments,Organization,Priority,Related Decision IDs,Status,Timeline Impact
26-099,"Provide BESS-as-UPS analysis: capacity sizing and functionality, next steps",Benton,Electrical (Div 26),,None,"October 18, 2025","Size BESS for UPS replacement + concurrency
NO BESS - Need to submit paperwork to Saga",PGCIS,1-Critical Path,D1 U2,Review-Send,
48-001,Complete generator or turbine configuration modeling,Benton,Power Generation (Div 48),,A-023 A-024,"November 8, 2025",,PGCIS,1-Critical Path,E1 D2,In Progress,
33-002,Identify natural gas provider and confirm service availability and Provide natural gas line details (location provider specifications),David,Utilities (Div 33),,None,"October 18, 2025","Critical for generator fuel strategy decision, do we have the pressure, reliability, etc. to run a turbine or gens?",Saga,1-Critical Path,D2 E5,In Progress,
00-001,Send Camelot Scope to PGCIS for review,David,Project Management (Div 00),,None,"October 15, 2025",Avoid overlap with PGCIS engineering work. DONE,Saga,1-Critical Path,V8 V10,Complete,
99-001,Confirm that Environmental consultant will confirm emissions/air permitting path,David,Environmental/Permitting,,A-042,"November 8, 2025","Make sure we can run nat gas, diesel gens or turbine as needed",Saga,1-Critical Path,E4 E7,In Progress,2-6 months depending on path
33-001,Comprehensive utility interconnection study and grid power validation,Saga,Utilities (Div 33),"$2-5M utility upgrade cost exposure + $50K-$150K study fees, plus potential $0-5M for Option B mobile compute",None,,"PRIMARY QUESTION: Confirm grid power is available at the site (138 kV service from OG&E). Submit formal interconnection application for 15-20 MVA substation transformer. Validate interconnection agreement permits: (1) 12MW solar export capability during Phase 1-2 (Option A), (2) 6-8MW additional load for mobile edge computing (Option B). Identify required utility upgrades, costs, and timeline. Determine POI configuration (single behind-the-meter vs dual POI). Coordinate with Camelot Task 1 findings (substation hosting capacity, transmission line analysis). 6-18+ month lead time - START IMMEDIATELY. Waiting on input from Camelot on CHILL and HILL process for large load interconnection.",Saga,1-Critical Path,V10 D1,Not Started,6-18+ months if delayed
00-002,Schedule follow-up meetings for next week (Monday/Tuesday Oct 20/21),Benton,Project Management (Div 00),,None,"October 18, 2025","Mid-point check before Oct 30 meeting

Also include an architecture walkthrough meeting so that we can get David to review internal. Wed Internal - Thur/Fri with Saga",PGCIS,2-Critical,All,Complete,
99-002,Research turbine lead times (verify 5-year concern),Erik,Procurement,,None,"October 18, 2025",Critical decision driver for generator strategy - looks like a year lead time is about standard.,PGCIS,2-Critical,D2 P2 P7,Complete,5 years if true
26-100,Provide BESS-as-UPS analysis: CapEx savings estimate (UPS elimination/reduction),Benton,Electrical (Div 26),$3M-$5M savings,None,"October 18, 2025",Estimated $3-5M savings,PGCIS,2-Critical,D1,Complete,
33-003,Confirm if ALTA survey (next week) includes natural gas utility info,David,Utilities (Div 33),,None,"October 18, 2025",Add to survey scope if not included,Saga,2-Critical,D2,Not Started,
27-001,Ask Camelot if fiber analysis includes GCP on-ramp feasibility,Aaron,Communications (Div 27),,None,"October 18, 2025",Determine if separate telecom consultant needed,Saga,2-Critical,C2 C3,Not Started,
27-002,Receive and review Camelot studies (net load fiber SPP market),Benton,Communications (Div 27),,None,"October 31, 2025",Expected end of October,PGCIS,3-High,V7 V8 V9,In Progress,
27-003,Research GCP Cloud Interconnect requirements (if Camelot doesn't cover),Benton,Communications (Div 27),,A-020,"October 25, 2025","Only if not in Camelot scope, and determine if telecom consultant is needed to engage",PGCIS,3-High,C1 C2,Blocked,
23-001,Evaluate and recommend cooling strategy - integrated free cooling coil chillers vs current design,Erik,Mechanical (Div 23),TBD,None,"October 25, 2025","Closed-loop system analysis, Review free cooling hour curves for Tulsa climate",PGCIS,3-High,M1 M4,Not Started,
23-002,Provide CapEx difference and efficiency comparison for closed-loop cooling,Benton,Mechanical (Div 23),TBD,A-032,"October 25, 2025","Sustainability vs efficiency trade-off

CAPEX/OPEX / Total Cost of Ownership

Use note:
Packaged air cooled chiller with a free cooling coil. When you don’t need mech cooling you just pull the cold air across… ",PGCIS,3-High,M4,In Progress,
23-003,Design for incremental RDHx deployment with base chilled water loop,Benton,Mechanical (Div 23),,A-019,"November 8, 2025",Allow customer-driven deployment,PGCIS,3-High,M3 O1,In Progress,
27-004,Confirm diverse fiber routes to Google Pryor campus (4 miles away),David,Communications (Div 27),,A-040,,"Client SOW indicates:
”Site Resources:
- Proximity to fiber and water for the site
- Fiber information (requested by Client via email)”
",Saga,3-High,C1,Not Started,
99-003,Business case: Review power pass-through model and IRR calculations with consultant,David,Financial,IRR increase from 12.1% to 15-19%,None,"October 25, 2025",Look for IRR increase,Saga,3-High,D3 F1,In Progress,
99-004,Saga to validate power pricing assumptions with financial consultant,David,Financial,,A-058,"November 22, 2025",Confirm modeling approach,Saga,3-High,D3 F1,Not Started,
