Action ID,Priority,Category,Action Description,Notes_Comments,Assigned To,Organization,Status,Due Date,Dependencies,Related Decision IDs,Cost Impact,Timeline Impact
33-001,1-Critical Path,Utilities (Div 33),Comprehensive utility interconnection study and grid power validation,"PRIMARY QUESTION: Confirm grid power is available at the site (138 kV service from OG&E). Submit formal interconnection application for 15-20 MVA substation transformer. Validate interconnection agreement permits: (1) 12MW solar export capability during Phase 1-2 (Option A), (2) 6-8MW additional load for mobile edge computing (Option B). Identify required utility upgrades, costs, and timeline. Determine POI configuration (single behind-the-meter vs dual POI). Coordinate with Camelot Task 1 findings (substation hosting capacity, transmission line analysis). 6-18+ month lead time - START IMMEDIATELY.",Saga,Saga,Not Started,ASAP,None,V10 D1,"$2-5M utility upgrade cost exposure + $50K-$150K study fees, plus potential $0-5M for Option B mobile compute",6-18+ months if delayed
33-002,1-Critical Path,Utilities (Div 33),Confirm natural gas service capacity for turbine generators,"Contact Oklahoma Natural Gas (or local provider) to confirm pipeline capacity for 3,000-4,000 CFH peak demand (multiple turbines). Verify pressure (5-10 psig), meter sizing (6-8""), and interconnection timeline. Critical for generator fuel strategy decision - do we have the pressure, reliability, etc. to run turbines vs diesel? If insufficient capacity, must fall back to diesel-only or evaluate dual-fuel strategy.",David,Saga,Not Started,10/18/25,None,D2 E5,$100-300K interconnection,2-4 weeks if service installation required
48-001,1-Critical Path,Power Generation (Div 48),Complete generator or turbine configuration modeling,Finalize generator count and fuel mix based on natural gas service confirmation (33-002). Current plan: 4-5 generators total (natural gas turbine + diesel recip mix, N+1 redundancy). Customers may prefer diesel for fuel diversity if concerned about natural gas supply interruption risk.,Benton,PGCIS,Not Started,11/8/25,48-002 33-002,E1 D2,"$2.4M Phase 1 CAPEX, ±$500K-$1M based on turbine vs diesel mix",
00-001,1-Critical Path,Project Management (Div 00),Send Camelot Scope to PGCIS for review,Avoid overlap with PGCIS engineering work. Ensure coordination on Task 1 (Market Study), Task 2 (Net Load Analysis), Task 3 (Fiber Drawings).,David,Saga,Not Started,10/15/25,None,V8 V10,,
99-001,1-Critical Path,Environmental/Permitting,Confirm environmental consultant will validate emissions/air permitting path,"Make sure we can run nat gas, diesel gens or turbine as needed. Verify permitting timeline and requirements for chosen generator fuel strategy.",David,Saga,In Progress,11/8/25,48-001,E4 E7,,2-6 months depending on path
00-002,2-Critical,Project Management (Div 00),Schedule follow-up meeting (Monday/Tuesday Oct 20/21),Mid-point check before Oct 30 meeting,Benton,PGCIS,Not Started,10/18/25,None,All,,
99-002,2-Critical,Procurement,Research turbine lead times (verify 5-year concern),Critical decision driver for generator strategy. Compare to diesel generator lead times (4× 3750 kVA from Generac).,Erik,PGCIS,Not Started,10/18/25,None,D2 P2 P7,$0.5M-$1M slip cost if delayed,5 years if turbine, 6-9 months if diesel
26-099,2-Critical,Electrical (Div 26),BESS-as-UPS analysis: capacity sizing and functionality - REJECTED,"Status: REJECTED per BOD. Analysis complete - BESS-as-UPS violates Tier III concurrent maintainability (non-maintainable single point of failure). Traditional 2N modular UPS confirmed as only proven, bankable solution. See [[Why BESS Should Not Be UPS]] document for full technical rationale. Decision: Deploy traditional 2N UPS (Phase 1: 6MW N+1 for $4.5M, phased to 28MW ultimate).",Benton,PGCIS,Rejected,10/18/25,None,D1 U2,"BESS-as-UPS rejected. Traditional 2N UPS: $26.3M total phased CAPEX (Phase 1: $4.5M)",
26-100,2-Critical,Electrical (Div 26),BESS-as-UPS analysis: CapEx savings estimate - REJECTED,"Status: REJECTED per BOD. Analysis showed estimated $3-5M savings by eliminating UPS with BESS, but savings do NOT justify Tier III violation. Traditional UPS required for concurrent maintainability and lender acceptance. Economic BESS also rejected (negative NPV of -$5.3M to -$6.2M over 20 years per [[Excess Solar Monetization Strategy]]).",Benton,PGCIS,Rejected,10/18/25,None,D1,"Traditional 2N UPS selected: $26.3M total. No UPS savings, but project finance viable.",
33-003,2-Critical,Utilities (Div 33),Confirm if ALTA survey includes natural gas utility info,Add to survey scope if not included. Coordinate with 33-002 (natural gas service confirmation).,David,Saga,Not Started,10/18/25,None,D2,,
27-001,2-Critical,Communications (Div 27),Coordinate Camelot fiber study with Aaron's Google GCP outreach,"Review Camelot Task 3 fiber design drawings (T&M basis) for routing to site when delivered. Aaron is contacting Google regarding GCP Dedicated Interconnect feasibility. Confirm diverse fiber routes, carrier availability, and physical diversity. Validate dark fiber connectivity to Google Pryor campus (~4 miles, <1ms latency target). Determine if separate telecom consultant needed.",David,Saga,Not Started,10/18/25,33-001,C2 C3,$200-400K fiber infrastructure,
27-002,3-High,Communications (Div 27),Receive and review Camelot studies (net load, fiber, SPP market),"Expected end of October. Task 1: SPP Market Study (substation capacity, transmission lines, interconnect queue). Task 2: Net Load Analysis (BESS revenue stack, load coverage - note: Economic BESS already rejected but useful for solar validation). Task 3: Fiber drawings. Use Task 1 findings to inform 33-001 utility interconnection application.",Benton,PGCIS,In Progress,10/31/25,None,V7 V8 V9,,
27-003,3-High,Communications (Div 27),Research GCP Cloud Interconnect requirements (if Camelot doesn't cover),"Only if not in Camelot scope, and determine if telecom consultant is needed to engage. Coordinate with Aaron's Google outreach.",Benton,PGCIS,Blocked,10/25/25,27-001,C1 C2,,
23-001,3-High,Mechanical (Div 23),Finalize chiller plant sizing and cooling strategy,"Confirm chiller count and sizing for 12 MW initial (20-24 MW ultimate) capacity. Current plan: ~16 air-cooled chillers @ 1.5 MW each in modular 3 MW blocks (3 chillers per block = N+1 redundancy). Validate against PUE target (1.2-1.3) and Oklahoma climate (~215 days/year free cooling). Air-cooled with integrated free cooling confirmed, adiabatic coolers eliminated (zero water cooling strategy).",Erik,PGCIS,Not Started,10/25/25,None,M1 M4,"$8-12M phased chiller CAPEX, +$150-450K net vs adiabatic coolers",
23-002,3-High,Mechanical (Div 23),Provide CapEx difference and efficiency comparison for closed-loop cooling,Sustainability vs efficiency trade-off. Validate zero water cooling strategy cost delta.,Benton,PGCIS,Not Started,10/25/25,23-001,M4,TBD,
23-003,3-High,Mechanical (Div 23),Design for incremental RDHx deployment with base chilled water loop,"Validate rear-door heat exchanger (RDHx) deployment for ~48 network racks (up to 22 kW/rack air-cooled). Confirm cost delta ($3-5K per RDHx unit = $144-240K total) is acceptable vs fan wall elimination. Fan walls eliminated, RDHx confirmed as primary air-cooling approach. Allows customer-driven deployment and per-customer control.",Benton,PGCIS,Not Started,11/8/25,23-004,M3 O1,"+$144-240K RDHx CAPEX, but provides flexible billing",
27-004,3-High,Communications (Div 27),Confirm diverse fiber routes to Google Pryor campus (4 miles away),Part of Camelot fiber study scope (Task 3). Coordinate with 27-001 and 27-002.,David,Saga,Not Started,TBD,27-002,C1,,
99-003,3-High,Financial,Review power pass-through model and IRR calculations with consultant,Look for IRR increase from traditional all-in pricing to power pass-through model. Removes commodity risk from operator.,David,Saga,In Progress,10/25/25,None,D3 F1,IRR increase from 12.1% to 15-19%,
99-004,3-High,Financial,Saga to validate power pricing assumptions with financial consultant,Confirm modeling approach for both strategies. Coordinate with 99-005.,David,Saga,Not Started,11/22/25,99-005,D3 F1,,
99-005,3-High,Financial,Saga financial consultant to model both power pricing strategies,All-in vs pass-through comparison. Include impact of traditional UPS phasing (Phase 1: $4.5M vs $26.3M upfront).,David,Saga,Not Started,11/22/25,None,D3 F1,,
33-005,3-High,Utilities (Div 33),Research demand response programs and incentive structure,"Determine if facility qualifies for OG&E Load Reduction Program; assess revenue opportunity ($600k/year potential with natural gas turbine generators at zero incremental CAPEX). Document why generators provide demand response capability, eliminating need for Economic BESS (which has negative NPV).",Walker,Saga,Not Started,10/20/25,48-001,D1 U3,$600k/year revenue with generators,
02-002,4-Medium,Building & Site (Divs 02-14),Validate slab-on-grade can support equipment loads,"Review geotechnical analysis to confirm slab-on-grade can support equipment loads (chillers, transformers, generators) without raised floor. Raised floor eliminated from design ($900K-$1.25M savings). After geotechnical review.",Benton,PGCIS,In Progress,11/8/25,02-003,S1 D4,$900K-$1.25M savings (raised floor elimination),
02-003,4-Medium,Building & Site (Divs 02-14),PGCIS to review geotech analysis for design implications,Review for foundation design and site grading requirements. Coordinate with 02-002 (slab-on-grade validation).,Benton,PGCIS,Not Started,10/18/25,None,V6 S1,,
02-004,4-Medium,Building & Site (Divs 02-14),Provide FM I-135 tornado standard details and specifications for roof,For insurance rate reduction analysis. FM-150 tornado-rated roof (EF-2 resistance, 135 mph winds) adds +$150-250/SF premium. Compare to ASCE wind map requirements.,Erik,PGCIS,Not Started,10/18/25,None,E9 S7,"+$150-250/SF tornado hardening premium",
02-005,4-Medium,Building & Site (Divs 02-14),Consider designing tornado shelter specifications (location, size, access),For 24/7 operations staff safety - include in insurance cost study as needed. Coordinate with FM I-135 roof analysis.,Benton,PGCIS,Not Started,11/8/25,02-004 02-006,E9,TBD,
02-006,4-Medium,Building & Site (Divs 02-14),Evaluate roof type upgrade for wind/missile resistance,FM I-135 compliance. Compare to ASCE wind map requirements for Tulsa region to determine appropriate wind resistance standard.,Benton,PGCIS,Not Started,11/8/25,02-004,E9,TBD,
02-007,4-Medium,Building & Site (Divs 02-14),Document building envelope storm mitigation features for insurance advisor review,Compile FM-150 roof, wall construction, and other tornado hardening features for insurance rate analysis.,Benton,PGCIS,Not Started,10/18/25,None,E9,,
23-004,4-Medium,Mechanical (Div 23),Provide CapEx difference analysis: RDHx vs fan walls,Cost delta for cooling strategy change. Fan walls eliminated in favor of rack-based RDHx for per-customer control and flexible billing.,Benton,PGCIS,Not Started,10/18/25,None,O1 M3,"+$144-240K for RDHx deployment",
33-006,4-Medium,Utilities (Div 33),Validate substation transformer sizing (15-20 MVA),"Confirm 15-20 MVA sizing is adequate for facility load without BESS (12 MW IT + mechanical/support, PUE 1.2-1.3 = ~15 MW peak). Original 20-25 MVA estimate included BESS charging load (now eliminated). Coordinate with 33-001 utility interconnection study results.",David,Saga,Not Started,10/25/25,33-001,U1,"$400-800K if customer-owned transformer, ±$100-200K based on sizing",
99-006,4-Medium,Procurement,Get Generac lead time quotes for diesel generators (4× 3750 kVA),Compare to turbine lead times (5-year concern per 99-002). Part of generator fuel strategy decision.,David,Saga,Not Started,10/25/25,99-002,D2 P2,$0.5M-$1M slip cost if delayed,6-9 months if diesel delayed
99-007,4-Medium,Procurement,Clarify OCP compliance specification rationale from financial consultant,Why did they include this requirement in baseline? Understand implications for design.,David,Saga,Not Started,TBD,Design Phase,E3,,
02-008,4-Medium,Building & Site (Divs 02-14),Put geotechnical desktop analysis in Dropbox for PGCIS,PGCIS to review for design implications. Coordinate with 02-003.,David,Saga,Complete,10/18/25,None,V6 S1,,
99-008,4-Medium,Financial,Notify financial consultant of raised floor elimination,Remove $900K-$1.25M from CapEx model. Update model with slab-on-grade overhead distribution approach.,David,Saga,Not Started,10/18/25,02-002,D4 S1,$900K-$1.25M savings,
99-009,4-Medium,Financial,Notify financial consultant of rear door heat exchanger change,Update CapEx for fan wall removal + RDHx deployment. Net cost: +$144-240K for RDHx.,David,Saga,Not Started,10/18/25,23-004,O1 M3,"+$144-240K RDHx, offset by fan wall elimination",
